Title2,Title3
Total Recreation Visits for Dec 2021,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Current%20Year%20Monthly%20and%20Annual%20Summary%20Report%20(1979%20-%20Present)

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
DEC 2020,DEC 2021,YTD 2020,YTD 2021,,,,,,,,, Total,"13,651,336","15,913,207","2,261,871","236,763,581","295,800,079","59,036,498"
