Title2,Title3
Total Recreation Visits for Aug 2020,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Current%20Year%20Monthly%20and%20Annual%20Summary%20Report%20(1979%20-%20Present)

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
AUG 2019,AUG 2020,YTD 2019,YTD 2020,Intermountain  Region,,,,,,,,Intermountain  Region Total,"8,223,359","6,536,756","-1,686,603","41,110,961","27,433,305","-13,677,656"
